存储过程名称,统计开始时间,统计结束时间,状态,错误代码,错误信息
bakSendSms,2017-11-04 00:08:57,,"
        
        正在处理中
        
        ",0 , 
control,2017-11-04 00:08:55,2017-11-04 00:08:57,"
        
        
        执行完成
        ",0 , 
mosms_bak,2017-11-04 00:08:55,2017-11-04 00:08:57,"
        
        
        执行完成
        ",0 , 
pkg_user_account.reckoning,2017-11-04 00:08:07,2017-11-04 00:08:07,"
        
        
        执行完成
        ",0 , 
pkg_backfee.backfee,2017-11-04 00:08:07,2017-11-04 00:08:07,"
        
        
        执行完成
        ",0 , 
pkg_stat.sMtStat,2017-11-04 00:07:47,2017-11-04 00:08:07,"
        
        
        执行完成
        ",0 , 
pkg_backfee.backfee,2017-11-04 00:05:55,2017-11-04 00:05:55,"
        
        
        执行完成
        ",0 , 
pkg_user_account.reckoning,2017-11-04 00:05:54,2017-11-04 00:05:55,"
        
        
        执行完成
        ",0 , 
pkg_stat.sMtStat,2017-11-04 00:04:58,2017-11-04 00:05:54,"
        
        
        执行完成
        ",0 , 
pkg_backfee.backfee,2017-11-04 00:02:57,2017-11-04 00:02:58,"
        
        
        执行完成
        ",0 , 
pkg_user_account.reckoning,2017-11-04 00:02:56,2017-11-04 00:02:57,"
        
        
        执行完成
        ",0 , 
pkg_stat.sMtStat,2017-11-04 00:02:15,2017-11-04 00:02:56,"
        
        
        执行完成
        ",0 , 
pkg_stat.cMoStat,2017-11-04 00:01:16,2017-11-04 00:01:28,"
        
        
        执行完成
        ",0 , 
pkg_stat.cMtStat,2017-11-04 00:00:17,2017-11-04 00:01:16,"
        
        
        执行完成
        ",0 , 
control,2017-11-04 00:00:00,2017-11-04 00:02:58,"
        
        
        执行完成
        ",0 , 
pkg_stat.update_submit,2017-11-04 00:00:00,2017-11-04 00:00:17,"
        
        
        执行完成
        ",0 , 
updateUserIspecial,2017-11-04 00:00:00,2017-11-04 00:00:00,"
        
        
        执行完成
        ",0 , 
pkg_user_update.bakBalance,2017-11-04 00:00:00,2017-11-04 00:00:00,"
        
        
        执行完成
        ",0 , 
pkg_user_month_report.control,2017-11-03 00:26:27,2017-11-03 00:26:29,"
        
        
        执行完成
        ",0 , 
control,2017-11-03 00:26:22,2017-11-03 00:26:27,"
        
        
        执行完成
        ",0 , 
bakReport,2017-11-03 00:26:22,2017-11-03 00:26:27,"
        
        
        执行完成
        ",0 , 
bakAuditLog,2017-11-03 00:26:10,2017-11-03 00:26:10,"
        
        
        执行完成
        ",0 , 
bakAuditSms,2017-11-03 00:24:46,2017-11-03 00:26:10,"
        
        
        执行完成
        ",0 , 
bakSendSms,2017-11-03 00:10:41,2017-11-03 00:24:46,"
        
        
        执行完成
        ",0 , 
control,2017-11-03 00:10:39,2017-11-03 00:10:41,"
        
        
        执行完成
        ",0 , 
mosms_bak,2017-11-03 00:10:39,2017-11-03 00:10:41,"
        
        
        执行完成
        ",0 , 
pkg_user_account.reckoning,2017-11-03 00:09:56,2017-11-03 00:09:56,"
        
        
        执行完成
        ",0 , 
pkg_backfee.backfee,2017-11-03 00:09:56,2017-11-03 00:09:56,"
        
        
        执行完成
        ",0 , 
pkg_stat.sMtStat,2017-11-03 00:09:17,2017-11-03 00:09:56,"
        
        
        执行完成
        ",0 , 
pkg_backfee.backfee,2017-11-03 00:07:39,2017-11-03 00:07:39,"
        
        
        执行完成
        ",0 , 
pkg_user_account.reckoning,2017-11-03 00:07:38,2017-11-03 00:07:39,"
        
        
        执行完成
        ",0 , 
pkg_stat.sMtStat,2017-11-03 00:07:17,2017-11-03 00:07:38,"
        
        
        执行完成
        ",0 , 
pkg_backfee.backfee,2017-11-03 00:05:23,2017-11-03 00:05:23,"
        
        
        执行完成
        ",0 , 
